2026-04-07 17:33:45 | WARNING  | vaccine_monitor.trigger_engine | STATUS CHANGE DETECTED: WARNING → SAFE | Risk: 21.24, Temp: 4.23°C
2026-04-07 17:33:45 | WARNING  | vaccine_monitor.trigger_engine | STATUS CHANGE DETECTED: WARNING → SAFE | Risk: 21.24, Temp: 4.23°C
2026-04-07 17:33:45 | INFO     | vaccine_monitor.trigger_engine | Firing trigger actions...
2026-04-07 17:33:45 | INFO     | vaccine_monitor.trigger_engine | Firing trigger actions...
2026-04-07 17:33:45 | INFO     | vaccine_monitor.crud      | Incident recorded: WARNING → SAFE, id=2
2026-04-07 17:33:45 | INFO     | vaccine_monitor.crud      | Incident recorded: WARNING → SAFE, id=2
2026-04-07 17:33:45 | WARNING  | vaccine_monitor.sms_service | Fast2SMS API key not configured — SMS alert skipped (logged only)
2026-04-07 17:33:45 | WARNING  | vaccine_monitor.sms_service | Fast2SMS API key not configured — SMS alert skipped (logged only)
2026-04-07 17:33:45 | INFO     | vaccine_monitor.sms_service | [SMS WOULD SEND] ALERT: Vaccine storage SAFE. Risk: 21.24/100. Temp: 4.23°C.
2026-04-07 17:33:45 | INFO     | vaccine_monitor.sms_service | [SMS WOULD SEND] ALERT: Vaccine storage SAFE. Risk: 21.24/100. Temp: 4.23°C.
2026-04-07 17:33:45 | WARNING  | vaccine_monitor.report_service | Anthropic API key not configured — generating fallback report
2026-04-07 17:33:45 | WARNING  | vaccine_monitor.report_service | Anthropic API key not configured — generating fallback report
2026-04-07 17:33:45 | INFO     | vaccine_monitor.pdf_service | Vaccine passport PDF generated: reports\passport_2.pdf
2026-04-07 17:33:45 | INFO     | vaccine_monitor.pdf_service | Vaccine passport PDF generated: reports\passport_2.pdf
2026-04-07 17:33:45 | INFO     | vaccine_monitor.trigger_engine | All trigger actions completed for incident 2
2026-04-07 17:33:45 | INFO     | vaccine_monitor.trigger_engine | All trigger actions completed for incident 2
